_id,ground_state.globular_volume,ground_state.homo_lumo_gap,ground_state.dipole_moment,ground_state.solvation_energy,cation1.globular_volume,cation1.homo_lumo_gap,cation1.dipole_moment,cation1.solvation_energy,cation2.globular_volume,cation2.homo_lumo_gap,cation2.dipole_moment,cation2.solvation_energy
06HRXM,,,,,402.248,6.841762302000001,6.123232861814093,-1.502335135373869,,3.9695990320000014,6.584936641304911,
06RJIA,,,,,385.408,6.8616266239999995,5.781518398310258,-1.521995371884259,,3.9214348539999992,5.876337925102674,
06OJWE,,,,,409.832,7.492931104,4.532236205230261,-1.48450377707195,,4.064566818000001,4.578575074190659,
06JRRL,,,,,444.536,6.889382252,2.634939813354377,-1.4969031957080006,,2.710255440000001,2.610744102741592,
06JDXC,,,,,488.152,6.587607826,0.9500151682999594,,,2.5241294640000014,8.728801279671798,
06DZQV,,,,,388.152,6.749243542,12.297754252301516,-1.5853312659455696,,3.787826880000001,9.717137942316143,
06XSKT,,,,,448.192,6.955505954,5.422218249019491,-1.4674215486156754,,3.6153066040000006,4.317702779256581,
06QGTH,,,,,424.208,7.1541491740000005,8.581308248163563,-2.4836340027468395,,3.940482833999999,3.252576852281895,
06YVHO,,,,,406.768,6.271955586,11.26491412750226,,406.016,2.885224742,11.704833328586956,
06HNUQ,,,,,414.92,7.761507622000001,13.406084737163196,-1.7294795757334214,,3.192713562,15.946629195224926,
06VRWE,,,,,398.288,7.112787846000002,15.21867916082076,-1.8703265984804602,,3.2147547959999994,14.877579813262638,
06GJOZ,,,,,422.888,7.721506864,6.8487969965534825,-3.3964270821597893,,3.545101191999999,12.348635957060196,
06DPJZ,,,,,458.456,6.984077924,14.158747615873375,-1.7221518178339466,,2.9698521959999997,13.140401947048653,
06HGHM,,,,,501.76,7.556061552,7.787993131738111,-1.7891119982596138,,1.655541576000001,8.936127914259062,
06CKRR,,,,,401.064,6.867885246,20.136390592655875,-1.9365912555294926,,3.116249528000001,20.182809222206902,
06FFLF,,,,,462.672,6.754957936,9.765506763604233,-1.7099485933940741,,2.9959751400000005,17.190100223675255,
06FCBS,,,,,438.416,7.555245209999999,7.035417944941153,-1.8062255198528874,,3.87082165,16.014856606601256,
