_id,smiles
05TZYB,C=CCC12c3ccccc3C=CN1C(=O)NC2CC
05UCVE,O=C1C=C(N2CCCC2)C(=O)c2ccccc21
05YMWY,CC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1ccc([N+](=O)[O-])cc1
05ZOXZ,COc1cc2c(c(OC)c1)S(=O)(=O)N=C(N(C)C)N2
05JIAU,CC(C)(C)C1=Cc2cc(C(C)(C)C)ccc2C(=O)C1=O
05ZTDP,COC1=CC=C(C(=O)NC(C)(C)C)C2C1C2c1ccccc1
05LFCJ,O=C1C2=C(CCCC2)C2=NCCc3cccc1c32
05OJNN,CC(=O)OCC(C)CC1=Cc2ccccc2C12OC1CC3C4CCC5CC(OC(C)=O)CCC5(C)C4CC(=O)C3(C)C1C2C
05HIRS,CCOC(=O)C1=C(C)OC(N)=C(C#N)C12C(=O)Nc1ccc([N+](=O)[O-])cc12
05EJBI,CC1(C)C=C2C(=[N+]([O-])c3ccccc32)C(C)(C)C1
05BIVE,N#CC1=C(N)C=CC12CCCc1ccccc12
05OLVH,OC1c2cc(Br)ccc2N=C2CCCCN21
05YRPP,OC1c2ccccc2N=C2CCCN21
05IVEO,O=C1CCC2Oc3ccc(Cl)cc3C=C12
05VLBK,CC(c1ccccc1)N1CCC(=O)C([S+](C)C)=C1[O-]
05ZFKX,Cc1ccc(C2=NS3=NS(=N2)N=S=N3)cc1
05YQKO,Fc1ccc(C2=NS3=NS(=N2)N=S=N3)cc1
05ENBX,Fc1cccc(F)c1C1=NS2=NS(=N1)N=S=N2
05UQAL,N#Cc1ccc(C2=NS3=NS(=N2)N=S=N3)cc1
05PBSW,COc1c2c(c3c(c1C(C)C)OCO3)C1(C)CCC3C(C)(C)CCCC3(C)C1=C2
05RGBQ,CCOC(=O)C1=C(N)OC2=C(C(=O)CC2)C1c1ccc(Cl)cc1Cl
05VXOB,CCC1=NCC(C(=O)OC)=Cc2cc(OC)c(OC)c(OC)c21
05CUNT,CCC1=NCC(C(=O)OC)=Cc2cc3c(cc21)OCO3
05SAJI,C=CCC1(OC)C=C2C(=CC1=O)OC(c1cc(OC)c(OC)c(OC)c1)C2C
05STJI,NC1=CC(=O)c2ccccc2C1=O
05UOUM,CC1=CC(=NOC(C)C(=O)Nc2ccc(Br)cc2)C=CC1(C)C(Cl)(Cl)Cl
05VXMI,COC(=O)C1=C(c2ccccc2)OC2(C=CC(=O)C=C2)C1
05SPVX,CN1C(C(Cl)(Cl)Cl)=NS(=O)(=O)c2ccccc21
05RPDA,CC1(C)NC2CC3(O)C(=Nc4ccccc43)C3(C)CC(O)C1CC23
05IRLJ,CCOC1(c2ccccc2C)C2C=CC=CC1C=C2
05BECV,CCOC1=CC=CC2C=CC1C2c1ccc(C)cc1
05BODI,CC(C)(C)B1C=CN(C(C)(C)C)C(c2ccc(C3=CB(C(C)(C)C)C=CN3C(C)(C)C)cc2)=C1
05JZHB,C=CC(C)=CCC12OC(C)(C)C3CC(C=C4C(=O)c5c(OC)c6c(c(CC=C(C)C)c5OC431)OC(C)(C)C=C6)C2=O
05IRLU,CC(C)(C)B1C=CN(C(C)(C)C)C(c2ccccc2)=C1
05DZXH,O=C1C=CC(=O)C(c2ccc(I)cc2)=C1
05VVGR,CC(C)(C)OC(=O)C1(C#N)C=C1c1ccccc1
05IYUP,CC(C)(C)OC(=O)C1(C#N)C=C1c1ccc(Br)cc1
05KWOD,CC1C(=O)C=CN2c3cccc([N+](=O)[O-])c3C=CC12
05WGBN,COC1=CC(=O)C(c2cc(OC)ccc2OC)=CC1(OC)OC
05TWXU,COC1=CC(=O)C(OC)(OC)C=C1c1cc(OC)ccc1OC
05TPTO,COC1=CC(=O)C(c2cc(OC)ccc2OC)=CC1=O
